instrument_id,type,masked_identifier,issuing_bank
P00001,upi,upi_730255,AXIS
P00002,wallet,upi_346268,HDFC
P00003,upi,upi_380938,KOTAK
P00004,card,****7701,HDFC
P00005,wallet,upi_909289,SBI
P00006,upi,upi_807777,SBI
P00007,upi,upi_510389,AXIS
P00008,upi,upi_518045,SBI
P00009,card,****5396,AXIS
P00010,wallet,upi_329583,SBI
P00011,wallet,upi_958285,HDFC
P00012,upi,upi_569380,AXIS
P00013,card,****3728,KOTAK
P00014,card,****2807,KOTAK
P00015,wallet,upi_445698,ICICI
P00016,wallet,upi_665987,HDFC
P00017,wallet,upi_122143,AXIS
P00018,card,****6460,SBI
P00019,wallet,upi_166547,HDFC
P00020,wallet,upi_320686,SBI
P00021,wallet,upi_308079,ICICI
P00022,wallet,upi_514739,ICICI
P00023,upi,upi_940208,ICICI
P00024,upi,upi_447605,AXIS
P00025,card,****5074,HDFC
P00026,card,****1328,KOTAK
P00027,card,****9216,AXIS
P00028,upi,upi_144339,ICICI
P00029,upi,upi_416110,HDFC
P00030,card,****5051,HDFC
P00031,upi,upi_886343,HDFC
P00032,upi,upi_787106,AXIS
P00033,card,****5423,HDFC
P00034,card,****2210,KOTAK
P00035,wallet,upi_837661,AXIS
P00036,card,****1241,KOTAK
P00037,wallet,upi_259223,HDFC
P00038,wallet,upi_716767,AXIS
P00039,card,****6114,SBI
P00040,upi,upi_637243,HDFC
P00041,upi,upi_387361,AXIS
P00042,card,****2633,SBI
P00043,wallet,upi_704190,AXIS
P00044,upi,upi_405385,AXIS
P00045,card,****4641,AXIS
P00046,wallet,upi_392089,AXIS
P00047,upi,upi_837022,KOTAK
P00048,wallet,upi_356496,AXIS
P00049,card,****9143,AXIS
P00050,upi,upi_899749,KOTAK
P00051,wallet,upi_213565,AXIS
P00052,card,****1407,AXIS
P00053,card,****8325,SBI
P00054,upi,upi_690509,HDFC
P00055,wallet,upi_425698,SBI
P00056,card,****2370,HDFC
P00057,wallet,upi_277477,ICICI
P00058,upi,upi_722234,ICICI
P00059,card,****3315,AXIS
P00060,wallet,upi_978780,AXIS
P00061,wallet,upi_858154,KOTAK
P00062,card,****1965,AXIS
P00063,upi,upi_531865,SBI
P00064,wallet,upi_454280,ICICI
P00065,card,****6266,KOTAK
P00066,wallet,upi_526282,HDFC
P00067,upi,upi_823934,ICICI
P00068,wallet,upi_933298,AXIS
P00069,wallet,upi_624094,SBI
P00070,wallet,upi_347190,SBI
P00071,upi,upi_843302,AXIS
P00072,wallet,upi_681757,HDFC
P00073,card,****7974,HDFC
P00074,upi,upi_233465,HDFC
P00075,card,****9518,HDFC
P00076,card,****4233,AXIS
P00077,card,****1639,AXIS
P00078,upi,upi_279015,KOTAK
P00079,upi,upi_246659,KOTAK
P00080,upi,upi_518807,HDFC
P00081,upi,upi_223295,AXIS
P00082,upi,upi_854914,SBI
P00083,wallet,upi_438046,KOTAK
P00084,upi,upi_691198,ICICI
P00085,card,****5754,KOTAK
P00086,wallet,upi_314393,KOTAK
P00087,wallet,upi_489287,KOTAK
P00088,wallet,upi_363443,AXIS
P00089,upi,upi_320848,SBI
P00090,wallet,upi_855111,ICICI
P00091,card,****9591,AXIS
P00092,card,****6205,AXIS
P00093,card,****3463,AXIS
P00094,card,****1091,SBI
P00095,wallet,upi_296790,ICICI
P00096,wallet,upi_198406,KOTAK
P00097,upi,upi_447115,HDFC
P00098,card,****8679,KOTAK
P00099,card,****2093,SBI
P00100,wallet,upi_686317,ICICI
P00101,upi,upi_759367,HDFC
P00102,card,****5498,SBI
P00103,upi,upi_712859,SBI
P00104,upi,upi_754836,AXIS
P00105,upi,upi_688368,KOTAK
P00106,wallet,upi_791397,ICICI
P00107,card,****3497,HDFC
P00108,wallet,upi_326955,SBI
P00109,card,****5307,KOTAK
P00110,card,****3075,KOTAK
P00111,wallet,upi_776153,AXIS
P00112,upi,upi_703618,KOTAK
P00113,wallet,upi_390704,KOTAK
P00114,wallet,upi_596403,ICICI
P00115,card,****1043,ICICI
P00116,card,****2496,KOTAK
P00117,card,****3348,ICICI
P00118,upi,upi_100258,SBI
P00119,card,****1855,ICICI
P00120,wallet,upi_946446,AXIS
P00121,upi,upi_797137,AXIS
P00122,upi,upi_417255,KOTAK
P00123,card,****4944,KOTAK
P00124,upi,upi_495637,AXIS
P00125,wallet,upi_597526,SBI
P00126,upi,upi_979387,KOTAK
P00127,upi,upi_656464,HDFC
P00128,wallet,upi_983101,ICICI
P00129,card,****5550,ICICI
P00130,upi,upi_687712,AXIS
P00131,upi,upi_828864,SBI
P00132,wallet,upi_226080,KOTAK
P00133,upi,upi_783768,SBI
P00134,card,****1414,SBI
P00135,upi,upi_908184,SBI
P00136,wallet,upi_544677,ICICI
P00137,wallet,upi_686986,ICICI
P00138,upi,upi_492383,ICICI
P00139,wallet,upi_111190,ICICI
P00140,upi,upi_478526,KOTAK
P00141,card,****1091,KOTAK
P00142,upi,upi_444406,HDFC
P00143,upi,upi_366086,KOTAK
P00144,card,****5473,HDFC
P00145,wallet,upi_388307,AXIS
P00146,upi,upi_146050,SBI
P00147,upi,upi_755643,HDFC
P00148,wallet,upi_963319,HDFC
P00149,wallet,upi_593679,KOTAK
P00150,wallet,upi_576557,AXIS
P00151,card,****8756,KOTAK
P00152,card,****1625,SBI
P00153,card,****3509,ICICI
P00154,card,****2356,AXIS
P00155,card,****1918,AXIS
P00156,wallet,upi_845108,HDFC
P00157,upi,upi_202210,KOTAK
P00158,upi,upi_993990,ICICI
P00159,wallet,upi_743829,HDFC
P00160,upi,upi_977944,SBI
P00161,wallet,upi_277433,KOTAK
P00162,wallet,upi_484047,KOTAK
P00163,card,****7605,AXIS
P00164,wallet,upi_802169,HDFC
P00165,card,****4161,KOTAK
P00166,card,****5368,HDFC
P00167,card,****8264,HDFC
P00168,upi,upi_738088,ICICI
P00169,wallet,upi_630019,AXIS
P00170,card,****1052,SBI
P00171,upi,upi_687789,SBI
P00172,card,****6594,AXIS
P00173,wallet,upi_976720,HDFC
P00174,wallet,upi_585496,HDFC
P00175,card,****2483,ICICI
P00176,wallet,upi_190615,ICICI
P00177,upi,upi_719864,HDFC
P00178,card,****1171,ICICI
P00179,wallet,upi_492722,AXIS
P00180,card,****5042,SBI
P00181,wallet,upi_773518,ICICI
P00182,wallet,upi_892547,ICICI
P00183,upi,upi_155926,AXIS
P00184,wallet,upi_401021,ICICI
P00185,upi,upi_247247,KOTAK
P00186,upi,upi_534092,ICICI
P00187,card,****5469,ICICI
P00188,card,****5832,SBI
P00189,wallet,upi_560952,SBI
P00190,card,****9026,SBI
P00191,wallet,upi_481276,SBI
P00192,wallet,upi_648450,AXIS
P00193,wallet,upi_820413,ICICI
P00194,card,****7318,ICICI
P00195,wallet,upi_696337,ICICI
P00196,wallet,upi_554928,SBI
P00197,wallet,upi_950299,SBI
P00198,card,****6606,KOTAK
P00199,wallet,upi_970168,SBI
P00200,card,****9409,ICICI
P00201,upi,upi_328856,AXIS
P00202,upi,upi_132975,HDFC
P00203,wallet,upi_790311,ICICI
P00204,upi,upi_246606,AXIS
P00205,wallet,upi_438680,SBI
P00206,wallet,upi_496267,KOTAK
P00207,card,****6281,HDFC
P00208,wallet,upi_476317,HDFC
P00209,card,****7904,AXIS
P00210,upi,upi_453026,HDFC
P00211,card,****6865,SBI
P00212,card,****8648,KOTAK
P00213,card,****1356,AXIS
P00214,wallet,upi_578617,KOTAK
P00215,wallet,upi_828234,AXIS
P00216,wallet,upi_518731,AXIS
P00217,card,****5138,SBI
P00218,wallet,upi_454291,AXIS
P00219,wallet,upi_520639,SBI
P00220,card,****4838,KOTAK
P00221,card,****7897,AXIS
P00222,upi,upi_705540,AXIS
P00223,wallet,upi_129942,ICICI
P00224,wallet,upi_274467,SBI
P00225,wallet,upi_831519,KOTAK
P00226,card,****3286,ICICI
P00227,wallet,upi_449330,HDFC
P00228,card,****6067,ICICI
P00229,upi,upi_580995,AXIS
P00230,card,****8546,HDFC
P00231,wallet,upi_254655,ICICI
P00232,card,****5936,SBI
P00233,card,****4024,ICICI
P00234,card,****8152,HDFC
P00235,wallet,upi_356620,ICICI
P00236,wallet,upi_682324,SBI
P00237,card,****8820,ICICI
P00238,upi,upi_204766,AXIS
P00239,wallet,upi_820147,AXIS
P00240,wallet,upi_322813,AXIS
P00241,wallet,upi_494570,AXIS
P00242,wallet,upi_354533,HDFC
P00243,upi,upi_234744,SBI
P00244,card,****7551,SBI
P00245,upi,upi_959613,AXIS
P00246,wallet,upi_512982,KOTAK
P00247,card,****6683,AXIS
P00248,wallet,upi_876396,KOTAK
P00249,card,****4632,KOTAK
P00250,card,****4852,SBI
P00251,upi,upi_456359,KOTAK
P00252,card,****7523,HDFC
P00253,wallet,upi_341249,ICICI
P00254,upi,upi_297101,HDFC
P00255,card,****5946,AXIS
P00256,card,****6563,AXIS
P00257,wallet,upi_288613,AXIS
P00258,card,****5668,SBI
P00259,upi,upi_808074,AXIS
P00260,card,****5276,AXIS
P00261,card,****3679,AXIS
P00262,wallet,upi_642479,HDFC
P00263,upi,upi_945392,HDFC
P00264,upi,upi_819391,HDFC
P00265,wallet,upi_524121,HDFC
P00266,card,****6226,ICICI
P00267,wallet,upi_631597,AXIS
P00268,wallet,upi_576779,HDFC
P00269,upi,upi_785577,AXIS
P00270,upi,upi_908829,HDFC
P00271,upi,upi_545625,SBI
P00272,wallet,upi_764920,HDFC
P00273,wallet,upi_946331,AXIS
P00274,wallet,upi_490935,AXIS
P00275,wallet,upi_451339,KOTAK
P00276,upi,upi_217096,ICICI
P00277,upi,upi_657540,AXIS
P00278,wallet,upi_183895,ICICI
P00279,card,****6523,KOTAK
P00280,upi,upi_307212,KOTAK
P00281,wallet,upi_862974,AXIS
P00282,upi,upi_150901,AXIS
P00283,upi,upi_141779,HDFC
P00284,upi,upi_582607,SBI
P00285,card,****7050,SBI
P00286,upi,upi_453854,SBI
P00287,card,****9892,SBI
P00288,card,****5804,SBI
P00289,upi,upi_118369,AXIS
P00290,upi,upi_412143,HDFC
P00291,wallet,upi_217108,SBI
P00292,wallet,upi_138390,KOTAK
P00293,wallet,upi_515461,ICICI
P00294,card,****2377,KOTAK
P00295,card,****3065,ICICI
P00296,wallet,upi_617420,AXIS
P00297,upi,upi_462163,AXIS
P00298,wallet,upi_747224,ICICI
P00299,wallet,upi_960341,KOTAK
P00300,wallet,upi_580687,HDFC
P00301,card,****6350,SBI
P00302,card,****3404,KOTAK
P00303,wallet,upi_768796,HDFC
P00304,upi,upi_637533,HDFC
P00305,upi,upi_767671,SBI
P00306,upi,upi_520205,HDFC
P00307,card,****5208,HDFC
P00308,upi,upi_222080,ICICI
P00309,wallet,upi_373652,SBI
P00310,wallet,upi_639009,KOTAK
P00311,card,****1800,SBI
P00312,wallet,upi_595890,ICICI
P00313,upi,upi_388134,ICICI
P00314,upi,upi_625927,HDFC
P00315,wallet,upi_518036,ICICI
P00316,wallet,upi_398752,SBI
P00317,card,****7671,ICICI
P00318,card,****7788,ICICI
P00319,upi,upi_380025,AXIS
P00320,wallet,upi_928645,SBI
P00321,card,****4626,ICICI
P00322,card,****6318,ICICI
P00323,card,****5715,KOTAK
P00324,upi,upi_716472,AXIS
P00325,wallet,upi_724144,SBI
P00326,wallet,upi_507937,AXIS
P00327,wallet,upi_113177,SBI
P00328,upi,upi_435169,SBI
P00329,upi,upi_259151,AXIS
P00330,wallet,upi_623212,ICICI
P00331,wallet,upi_831618,ICICI
P00332,wallet,upi_509008,SBI
P00333,upi,upi_133833,KOTAK
P00334,card,****8971,KOTAK
P00335,upi,upi_187128,ICICI
P00336,wallet,upi_655317,SBI
P00337,upi,upi_405998,SBI
P00338,upi,upi_807265,AXIS
P00339,card,****3554,KOTAK
P00340,wallet,upi_274833,KOTAK
P00341,upi,upi_692332,AXIS
P00342,upi,upi_902097,HDFC
P00343,upi,upi_683469,AXIS
P00344,card,****7148,KOTAK
P00345,card,****7200,KOTAK
P00346,card,****2588,AXIS
P00347,card,****4462,HDFC
P00348,wallet,upi_403404,ICICI
P00349,card,****7571,KOTAK
P00350,upi,upi_469124,ICICI
P00351,upi,upi_728357,SBI
P00352,upi,upi_907927,SBI
P00353,wallet,upi_210770,SBI
P00354,wallet,upi_661645,KOTAK
P00355,upi,upi_336033,AXIS
P00356,upi,upi_893591,AXIS
P00357,upi,upi_966268,AXIS
P00358,card,****3910,AXIS
P00359,upi,upi_103499,KOTAK
P00360,upi,upi_899995,AXIS
P00361,wallet,upi_280638,HDFC
P00362,upi,upi_708339,AXIS
P00363,upi,upi_530224,ICICI
